phrase,category,score,situation
skip appointment,Low,-10,appointment_avoidance
I am busy,Low,-10,appointment_avoidance
too busy,Low,-10,appointment_avoidance
not free,Low,-10,appointment_avoidance
no time,Low,-10,appointment_avoidance
later doctor,Low,-10,appointment_avoidance
medicine not working,Low,-10,treatment_rejection
I stopped medicine,Low,-10,treatment_rejection
treatment too painful,Low,-10,treatment_rejection
I don't want root canal,Low,-10,treatment_rejection
I don't want extraction,Low,-10,treatment_rejection
I don't want surgery,Low,-10,treatment_rejection
treatment painful,Low,-10,treatment_rejection
scared,Low,-10,fear_anxiety
scared doctor,Low,-10,fear_anxiety
afraid,Low,-10,fear_anxiety
afraid of dentist,Low,-10,fear_anxiety
dental fear,Low,-10,fear_anxiety
dental anxiety,Low,-10,fear_anxiety
nervous,Low,-10,fear_anxiety
very nervous,Low,-10,fear_anxiety
worried,Low,-10,fear_anxiety
tension,Low,-10,fear_anxiety
scared of dentist,Low,-10,fear_anxiety
afraid of treatment,Low,-10,fear_anxiety
fear of injection,Low,-10,fear_anxiety
fear of surgery,Low,-10,fear_anxiety
pain increasing,Low,-10,negative_health
swelling worse,Low,-10,negative_health
infection spreading,Low,-10,negative_health
bleeding more,Low,-10,negative_health
severe pain,Low,-10,negative_health
unbearable pain,Low,-10,negative_health
I cannot afford,Low,-10,financial_concern
too expensive,Low,-10,financial_concern
not interested,Low,-10,financial_concern
tooth pain,Symptom,3,dental_condition
toothache,Symptom,3,dental_condition
severe tooth pain,Symptom,3,dental_condition
throbbing tooth pain,Symptom,3,dental_condition
sharp tooth pain,Symptom,3,dental_condition
constant tooth pain,Symptom,3,dental_condition
pain while chewing,Symptom,3,dental_condition
pain while biting,Symptom,3,dental_condition
pain while brushing,Symptom,3,dental_condition
gum bleeding,Symptom,3,dental_condition
swollen gums,Symptom,3,dental_condition
gum infection,Symptom,3,dental_condition
red gums,Symptom,3,dental_condition
sore gums,Symptom,3,dental_condition
gum irritation,Symptom,3,dental_condition
broken tooth,Symptom,3,dental_condition
cracked tooth,Symptom,3,dental_condition
chipped tooth,Symptom,3,dental_condition
loose tooth,Symptom,3,dental_condition
damaged tooth,Symptom,3,dental_condition
fractured tooth,Symptom,3,dental_condition
tooth sensitivity,Symptom,3,dental_condition
pain with cold water,Symptom,3,dental_condition
pain with hot drinks,Symptom,3,dental_condition
sensitive teeth,Symptom,3,dental_condition
sharp pain with sweets,Symptom,3,dental_condition
pus from gums,Symptom,3,dental_condition
swelling in face,Symptom,3,dental_condition
dental infection,Symptom,3,dental_condition
gum abscess,Symptom,3,dental_condition
jaw swelling,Symptom,3,dental_condition
mouth pain,Symptom,3,dental_condition
tooth cavity,Symptom,3,dental_condition
decay in tooth,Symptom,3,dental_condition
bad breath,Symptom,3,dental_condition
bleeding gums,Symptom,3,dental_condition
sharp pain,Symptom,3,dental_condition
throbbing pain,Symptom,3,dental_condition
constant pain,Symptom,3,dental_condition
pain in tooth,Symptom,3,dental_condition
pain while eating,Symptom,3,dental_condition
pain when drinking,Symptom,3,dental_condition
pain with cold,Symptom,3,dental_condition
pain with hot,Symptom,3,dental_condition
pain at night,Symptom,3,dental_condition
sudden pain,Symptom,3,dental_condition
jaw pain,Symptom,3,dental_condition
gum pain,Symptom,3,dental_condition
cheek pain,Symptom,3,dental_condition
extreme pain,Symptom,3,dental_condition
gum swelling,Symptom,3,dental_condition
gum inflammation,Symptom,3,dental_condition
gum tenderness,Symptom,3,dental_condition
bleeding while brushing,Symptom,3,dental_condition
bleeding while flossing,Symptom,3,dental_condition
missing tooth,Symptom,3,dental_condition
tooth decay,Symptom,3,dental_condition
cavity,Symptom,3,dental_condition
rotten tooth,Symptom,3,dental_condition
bad tooth,Symptom,3,dental_condition
cold sensitivity,Symptom,3,dental_condition
hot sensitivity,Symptom,3,dental_condition
sweet sensitivity,Symptom,3,dental_condition
pain with sweets,Symptom,3,dental_condition
sensitive gums,Symptom,3,dental_condition
pus in gums,Symptom,3,dental_condition
pus discharge,Symptom,3,dental_condition
face swelling,Symptom,3,dental_condition
mouth swelling,Symptom,3,dental_condition
infection pain,Symptom,3,dental_condition
bad smell,Symptom,3,dental_condition
