Category,Phrase
High,confirmed
High,i will use mouthwash
High,i will visit this week
High,i will take medicine
High,pain reduced next week
High,i will use mouthwash this evening
High,okay doctor today
High,feeling better
High,i will schedule appointment tomorrow
High,recovery improving this week
High,alright doctor
High,i will floss daily
High,see you tomorrow
High,of course this week
High,done soon
High,i will book appointment
High,treatment helping
High,i will use mouthwash
High,okay doctor this evening
High,i will use mouthwash
High,i understand today
High,i will follow instructions tomorrow
High,i will schedule appointment this evening
High,i will attend this evening
High,pain reduced
High,i will floss daily
High,i will come this week this evening
High,i will rinse mouth tomorrow
High,feeling better next month
High,yes doctor this evening
High,recovery improving
High,i will schedule appointment
High,i will visit
High,recovery improving today
High,i will follow instructions
High,pain reduced tomorrow
High,pain reduced
High,yes doctor today
High,swelling reduced next week
High,absolutely next month
High,i will arrive on time this evening
High,i will rinse mouth
High,alright doctor
High,i will come this week
High,i will visit soon
High,alright doctor
High,medicine working
High,absolutely
High,i will be there
High,i will visit
High,gums better
High,done
High,okay doctor
High,i will floss daily today
High,okay doctor next month
High,i will come tomorrow
High,got it
High,i will be there next month
High,recovery improving next month
High,i will follow treatment
High,pain reduced
High,recovery improving this week
High,feeling better tomorrow
High,sure doctor this evening
High,gums better
High,i will book appointment next month
High,sure doctor
High,pain reduced
High,i will visit
High,i will come this week next week
High,i understand
High,bleeding reduced
High,i will rinse mouth
High,i will arrive on time
High,yes doctor next month
High,definitely next month
High,i will follow instructions
High,i will come tomorrow next month
High,yes doctor this week
High,i will book appointment
High,see you tomorrow
High,absolutely
High,i will come tomorrow
High,swelling reduced this evening
High,see you tomorrow this week
High,i will attend
High,i will visit today
High,done
High,sure doctor this week
High,i will visit
High,i will come tomorrow
High,okay doctor
High,i will attend
High,i will book appointment
High,got it
High,i will follow treatment soon
High,medicine working tomorrow
High,i will come tomorrow
High,i will be there this week
High,recovery improving soon
High,i will come this week soon
High,i will come
High,bleeding reduced this week
High,i will arrive on time today
High,i will arrive on time next week
High,absolutely soon
High,i will floss daily
High,i will use mouthwash
High,absolutely
High,i will be there tomorrow
High,see you tomorrow
High,treatment helping
High,definitely next month
High,i will be there tomorrow
High,swelling reduced
High,done
High,i will come tomorrow today
High,treatment helping
High,i will brush twice daily tomorrow
High,i will use mouthwash
High,medicine working
High,bleeding reduced this week
High,i will schedule appointment this evening
High,i will floss daily today
High,i will come tomorrow
High,i will follow treatment tomorrow
High,i will follow treatment today
High,medicine working next week
High,i will schedule appointment
High,gums better soon
High,alright doctor next week
High,i will use mouthwash tomorrow
High,definitely
High,i will come
High,i will book appointment
High,swelling reduced today
High,of course this week
High,i will floss daily
High,of course
High,bleeding reduced
High,medicine working today
High,i will schedule appointment
High,confirmed
High,okay doctor next week
High,i will come
High,i will arrive on time
High,medicine working tomorrow
High,i will attend next month
High,see you tomorrow soon
High,gums better
High,recovery improving
High,sure doctor this evening
High,alright doctor soon
High,i will follow treatment next month
High,i will follow instructions
High,absolutely soon
High,yes doctor today
High,i will follow treatment tomorrow
High,i will attend
High,confirmed next month
High,feeling better today
High,gums better soon
High,i will take medicine
High,i will come
High,i will follow treatment
High,i will take medicine
High,confirmed
High,alright doctor
High,gums better
High,medicine working next month
High,i will rinse mouth
High,i understand next month
High,treatment helping
High,pain reduced
High,done tomorrow
High,done
High,i will rinse mouth next month
High,i will be there today
High,i will come today
High,i will brush twice daily soon
High,i will come
High,i will take medicine this week
High,i will follow treatment today
High,feeling better
High,i will come tomorrow tomorrow
High,i will attend today
High,feeling better
High,i will follow instructions today
High,okay doctor
High,i understand
High,i will floss daily next month
High,i will take medicine
High,i will come tomorrow this week
High,i will come today next month
High,pain reduced
High,feeling better next week
High,okay doctor next week
High,recovery improving
High,feeling better this week
High,i will follow instructions
High,i will take medicine next month
High,swelling reduced this week
High,gums better
High,i will come this week
High,gums better today
High,i will schedule appointment
High,i will floss daily
High,i will visit next week
High,i will brush twice daily
High,i will rinse mouth
High,i will take medicine
High,i will come today next week
High,recovery improving
High,see you tomorrow
High,feeling better
High,i understand
High,i will visit next week
High,of course this week
High,i will follow treatment
High,i will use mouthwash
High,i will come next week
High,definitely today
High,i will follow instructions
High,i will follow treatment this evening
High,i will take medicine today
High,of course
High,okay doctor
High,i will come tomorrow
High,i will arrive on time
High,gums better
High,recovery improving next month
High,i will book appointment
High,i will visit
High,of course today
High,got it
High,pain reduced
High,i will book appointment
High,i will floss daily this evening
High,i will come this week today
High,swelling reduced
High,i will book appointment
High,i will brush twice daily today
High,definitely next week
High,bleeding reduced today
High,i will arrive on time this evening
High,of course next month
High,definitely
High,i will schedule appointment
High,i will attend tomorrow
High,medicine working
High,i will use mouthwash today
High,gums better
High,i will take medicine next week
High,absolutely tomorrow
High,see you tomorrow soon
High,i will come
High,bleeding reduced
High,gums better tomorrow
High,medicine working
High,i will use mouthwash
High,i will visit this week
High,i will come next week
High,swelling reduced next month
High,definitely
High,i will be there
High,swelling reduced
High,i will follow treatment this week
High,yes doctor
High,recovery improving this week
High,i will rinse mouth soon
High,i will book appointment
High,see you tomorrow next month
High,definitely tomorrow
High,i will take medicine next month
High,i will come tomorrow next month
High,of course tomorrow
High,gums better
High,feeling better
High,treatment helping today
High,i will rinse mouth next month
High,done next week
High,treatment helping today
High,absolutely tomorrow
High,confirmed this week
High,i will use mouthwash soon
High,pain reduced this week
High,i will come today
High,i will attend
High,i will arrive on time
High,i understand
High,sure doctor next month
High,i will follow instructions
High,i will rinse mouth
High,got it
High,sure doctor
High,i will floss daily
High,i will follow treatment
High,confirmed
High,definitely
High,i will come today next month
High,alright doctor next week
High,swelling reduced soon
High,i understand
High,gums better this evening
High,alright doctor soon
High,definitely
High,i will come this week next month
High,gums better soon
High,gums better
High,i will schedule appointment next month
High,i will visit next month
High,i will come today soon
High,i will follow instructions
High,medicine working soon
High,done this evening
High,i will come today
High,i will come tomorrow tomorrow
High,i will follow treatment
High,i will arrive on time
High,pain reduced next week
High,i will come this week
High,i will rinse mouth
High,i will follow instructions this evening
High,feeling better tomorrow
High,i will come tomorrow
High,i will follow treatment
High,i will floss daily
High,i will schedule appointment
High,sure doctor
High,i will come today this week
High,i will come tomorrow next week
High,i will come
High,see you tomorrow tomorrow
High,i will arrive on time next month
High,i will follow instructions
High,pain reduced
High,okay doctor
High,i will take medicine
High,okay doctor
High,i will rinse mouth
High,of course next month
High,i will follow instructions this week
High,i will schedule appointment soon
High,pain reduced next month
High,i will attend
High,i will use mouthwash next month
High,see you tomorrow today
High,i will visit next month
High,okay doctor
High,okay doctor today
High,i will come tomorrow this week
High,i will use mouthwash
High,i will floss daily tomorrow
High,yes doctor
High,definitely soon
High,i will follow instructions this evening
High,feeling better next week
High,i will come this week next week
High,i will arrive on time
High,absolutely
High,got it next month
High,i will follow instructions soon
High,i will rinse mouth
High,yes doctor
High,see you tomorrow
High,absolutely
High,alright doctor
High,got it
High,gums better soon
High,i will follow treatment next month
High,i will follow instructions
High,of course this week
High,swelling reduced soon
High,i will follow instructions today
High,i will floss daily soon
High,done
High,okay doctor tomorrow
High,treatment helping
High,i will rinse mouth today
High,done
High,confirmed soon
High,see you tomorrow
High,i will follow treatment next month
High,i will rinse mouth
High,i understand next week
High,medicine working tomorrow
High,see you tomorrow
High,alright doctor
High,i will come
High,yes doctor tomorrow
High,i will floss daily
High,i will come today today
High,pain reduced today
High,definitely next week
High,confirmed
High,i will come
High,see you tomorrow soon
High,yes doctor
High,i will take medicine this evening
High,sure doctor
High,i will visit
High,got it
High,got it next week
High,got it
High,i will arrive on time this evening
High,i will rinse mouth today
High,i will come this evening
High,i will schedule appointment
High,i will schedule appointment this week
High,i understand
High,sure doctor
High,of course next week
High,i will take medicine
High,i will be there this week
High,i will arrive on time
High,medicine working next week
High,i will come
High,gums better soon
High,yes doctor
High,i will use mouthwash tomorrow
High,i will be there
High,i will rinse mouth
High,pain reduced
High,i will visit tomorrow
High,see you tomorrow
High,pain reduced
High,i will come today
High,i will come tomorrow
High,feeling better
High,i will book appointment
High,recovery improving soon
High,i will come today
High,of course
High,i will floss daily today
High,swelling reduced this evening
High,i will use mouthwash
High,i will follow instructions today
High,gums better next month
High,i will book appointment next week
High,i will attend
High,i will come today
High,i will attend
High,i will come tomorrow
High,see you tomorrow next week
High,i will come tomorrow
High,pain reduced this evening
High,see you tomorrow next month
High,treatment helping this evening
High,i will visit
High,medicine working today
High,i will follow instructions
High,i will come today
High,recovery improving this week
High,i will brush twice daily
High,i understand this week
High,i will use mouthwash this week
High,i will come tomorrow
High,i will come tomorrow
High,i will attend
High,gums better
High,recovery improving next week
High,gums better this week
High,i will attend next month
High,of course
High,i will come today soon
High,of course tomorrow
High,pain reduced next week
High,i will visit
High,i understand
High,i will take medicine
High,i will come today soon
High,got it
High,i will come tomorrow soon
High,definitely soon
High,i will rinse mouth next month
High,i will schedule appointment
High,i will be there this week
High,i will come this week
High,treatment helping this evening
High,i will come soon
High,i will take medicine today
High,i will come today this evening
High,i will rinse mouth
High,i will follow treatment this evening
High,of course next month
High,bleeding reduced next week
High,swelling reduced
High,confirmed soon
High,i will arrive on time today
High,i will come this week
High,yes doctor
High,gums better
High,bleeding reduced
High,pain reduced
High,i will follow treatment next week
High,absolutely this evening
High,absolutely
High,got it today
High,i will come today
High,i will brush twice daily
High,bleeding reduced soon
High,medicine working
High,i understand
High,i will brush twice daily this evening
High,i will come today this evening
High,i will attend
High,got it next week
High,see you tomorrow
High,definitely
High,medicine working next month
High,gums better
High,okay doctor
High,i understand
High,bleeding reduced
High,i will floss daily
High,yes doctor
High,treatment helping
High,recovery improving
High,i will come
High,i will arrive on time soon
High,i will take medicine tomorrow
High,confirmed
High,definitely
High,medicine working
High,got it tomorrow
High,definitely tomorrow
High,i will take medicine next week
High,i will come
High,i will come this week tomorrow
High,i will attend today
High,i will follow treatment tomorrow
High,i will be there next week
High,absolutely
High,i will attend this week
High,alright doctor next month
High,i will visit soon
High,absolutely next month
High,i will follow instructions
High,i will come today tomorrow
High,done
High,alright doctor next month
High,alright doctor today
High,pain reduced
High,sure doctor
High,i will come tomorrow soon
High,i will rinse mouth this week
High,i will floss daily
High,i will use mouthwash
High,feeling better
High,i will floss daily soon
High,feeling better
High,recovery improving next month
High,got it next month
High,gums better next week
High,swelling reduced
High,i understand
High,i will follow treatment
High,feeling better today
High,of course next month
High,i will arrive on time next month
High,i will arrive on time today
High,pain reduced
High,i will follow instructions
High,absolutely today
High,i understand
High,done
High,i will come soon
High,i will book appointment
High,i will use mouthwash tomorrow
High,i will schedule appointment this week
High,done
High,yes doctor
High,i will come tomorrow
High,yes doctor
High,bleeding reduced next month
High,i will brush twice daily
High,i will brush twice daily this week
High,treatment helping today
High,swelling reduced
High,i will use mouthwash
High,feeling better
High,recovery improving
High,i will take medicine tomorrow
High,okay doctor tomorrow
High,gums better this week
High,yes doctor soon
High,swelling reduced next week
High,feeling better this evening
High,got it
High,i will visit
High,medicine working tomorrow
High,i will come today tomorrow
High,medicine working
High,i will brush twice daily this week
High,i will attend
High,of course
High,i will take medicine next month
High,i will floss daily
High,i will follow instructions next week
High,i will floss daily this evening
High,i will follow instructions this week
High,i will attend this evening
High,i will visit next week
High,gums better
High,i will come this week
High,i will come this week
High,pain reduced
High,i will follow instructions next week
High,i will book appointment next month
High,done soon
High,done
High,i will use mouthwash tomorrow
High,okay doctor
High,i will floss daily
High,i will come today
High,i will follow treatment
High,i will use mouthwash this week
High,i will come
High,i will follow instructions this week
High,see you tomorrow
High,i will book appointment this evening
High,confirmed
High,i will visit tomorrow
High,see you tomorrow
High,done
High,got it
High,i will floss daily
High,pain reduced tomorrow
High,swelling reduced
High,confirmed
High,definitely
High,i will take medicine next month
High,i understand soon
High,of course
High,i will come next week
High,i will arrive on time tomorrow
High,i will schedule appointment
High,got it
High,i will come tomorrow next week
High,i will visit this week
High,absolutely
High,i will come this week next week
High,i will floss daily
High,i will arrive on time this evening
High,i will brush twice daily
High,i will come today
High,of course
High,recovery improving next month
High,see you tomorrow next month
High,i will come this week
High,i will attend
High,okay doctor soon
High,i will schedule appointment this evening
High,i will use mouthwash this evening
High,i will attend soon
High,see you tomorrow
High,done
High,of course
High,i will follow instructions
High,i understand next month
High,yes doctor soon
High,recovery improving this week
High,i will floss daily
High,recovery improving next month
High,recovery improving
High,i will floss daily this week
High,i will be there this evening
High,i will brush twice daily
High,i will take medicine
High,i will come next month
High,i will use mouthwash
High,medicine working
High,i will book appointment
High,i will follow instructions tomorrow
High,i will come this week soon
High,absolutely
High,swelling reduced tomorrow
High,i will take medicine tomorrow
High,i will arrive on time today
High,i will take medicine
High,swelling reduced
High,i will come
High,of course
High,confirmed
High,yes doctor
High,i will schedule appointment
High,i will come today
High,pain reduced today
High,i understand this evening
High,medicine working today
High,feeling better
High,treatment helping today
High,gums better
High,bleeding reduced
High,absolutely
High,okay doctor soon
High,alright doctor
High,i will follow instructions
High,bleeding reduced this evening
High,medicine working tomorrow
High,i will follow treatment
High,i will follow instructions soon
High,got it
High,i will come tomorrow
High,see you tomorrow soon
High,pain reduced soon
High,i will come this week
High,treatment helping
High,got it
High,confirmed tomorrow
High,of course tomorrow
High,i will follow treatment
High,i will follow treatment next week
High,i will come this week next month
High,i will come this week tomorrow
High,swelling reduced this week
High,i will be there soon
High,definitely today
High,i will book appointment
High,i will follow instructions
High,confirmed
High,swelling reduced
High,i will visit
High,i will follow treatment
High,i will attend next month
High,absolutely
High,yes doctor next month
High,confirmed next month
High,swelling reduced
High,feeling better
High,i will rinse mouth this week
High,i will come tomorrow
High,i will follow instructions soon
High,i will attend
High,i will take medicine this week
High,i will come this week this evening
High,pain reduced tomorrow
High,i will come
High,pain reduced
High,i understand this evening
High,i will come this week soon
High,i will be there today
High,i will use mouthwash
High,absolutely soon
High,i will follow instructions tomorrow
High,absolutely
High,got it
High,i will rinse mouth next month
High,yes doctor tomorrow
High,bleeding reduced this evening
High,confirmed
High,treatment helping tomorrow
High,i will floss daily
High,i understand next month
High,i will follow instructions
High,i will come tomorrow
High,alright doctor next week
High,done
High,i will come tomorrow soon
High,i will come tomorrow
High,done today
High,treatment helping this evening
High,i will arrive on time next month
High,feeling better next week
High,i will floss daily
High,confirmed next month
High,swelling reduced
High,i will arrive on time
High,swelling reduced
High,i will come tomorrow
High,i will visit
High,i will take medicine
High,feeling better this evening
High,okay doctor next month
High,i will floss daily
High,absolutely
High,i will come tomorrow soon
High,pain reduced
High,alright doctor today
High,i will arrive on time soon
High,i will be there next month
High,i will follow instructions next month
High,see you tomorrow
High,i will be there
High,i will schedule appointment
High,confirmed soon
High,i will book appointment
High,i will follow instructions
High,i will follow treatment next month
High,pain reduced this week
High,absolutely
High,confirmed
High,i will brush twice daily
High,swelling reduced tomorrow
High,i will follow treatment this week
High,alright doctor
High,i will come today
High,i will brush twice daily next month
High,i will visit this evening
High,yes doctor tomorrow
High,i will be there this evening
High,i will use mouthwash
High,i will follow treatment this evening
High,gums better this evening
High,sure doctor
High,i understand tomorrow
High,i will come today this evening
High,okay doctor
High,i will come today next week
High,of course this week
High,i will follow instructions next month
High,got it
High,i will floss daily soon
High,gums better
High,got it
High,i will come this week
High,i understand next month
High,got it
High,i will brush twice daily this week
High,definitely
High,sure doctor
High,of course
High,i will schedule appointment
High,feeling better today
High,i will book appointment
High,medicine working
High,recovery improving next month
High,okay doctor today
Medium,small discomfort
Medium,depends on work next week
Medium,i think
Medium,depends on work this evening
Medium,i will try next week
Medium,i will confirm later
Medium,maybe later
Medium,let me think next week
Medium,i will see if possible
Medium,i guess
Medium,i will try soon
Medium,i might come next month
Medium,i will try later next week
Medium,i will try later
Medium,i will see if possible next week
Medium,probably
Medium,i will try next week next month
Medium,pain sometimes next week
Medium,depends on work
Medium,small discomfort tomorrow
Medium,maybe
Medium,i will check soon
Medium,i will try to come this week
Medium,probably
Medium,depends on work
Medium,i guess today
Medium,i will confirm later tomorrow
Medium,pain sometimes
Medium,i will try later this evening
Medium,small discomfort tomorrow
Medium,i will try next month
Medium,i will see if possible next month
Medium,i will try this evening
Medium,mild swelling
Medium,depends on work next week
Medium,i will check schedule
Medium,i will try
Medium,let me see this week
Medium,moderate pain
Medium,possibly
Medium,i will try next week soon
Medium,let me think
Medium,depends on work
Medium,i will check
Medium,let me think
Medium,let me see
Medium,i will check schedule
Medium,i will try next week today
Medium,i will confirm later
Medium,i will try next week
Medium,mild swelling next month
Medium,maybe later
Medium,pain sometimes
Medium,i will check schedule
Medium,i will try later tomorrow
Medium,let me see
Medium,i will try to come this evening
Medium,maybe next month
Medium,i will try next week
Medium,possibly
Medium,i will try later
Medium,i think
Medium,i will update later
Medium,maybe
Medium,maybe tomorrow
Medium,let me see next week
Medium,not sure
Medium,pain sometimes today
Medium,i will check schedule
Medium,i will confirm later
Medium,moderate pain this week
Medium,probably
Medium,possibly
Medium,possibly next week
Medium,i will check
Medium,i will update later
Medium,possibly
Medium,possibly
Medium,i will try next week this week
Medium,occasional pain next month
Medium,possibly soon
Medium,i think next month
Medium,maybe next week
Medium,let me think
Medium,maybe later next month
Medium,i will try later
Medium,i will see if possible
Medium,i guess
Medium,not sure next week
Medium,possibly
Medium,let me see this week
Medium,i might come
Medium,maybe tomorrow next month
Medium,maybe this evening
Medium,maybe later
Medium,occasional pain tomorrow
Medium,i will check next week
Medium,moderate pain
Medium,i will check
Medium,small discomfort this week
Medium,maybe later
Medium,i guess
Medium,maybe later soon
Medium,i will check today
Medium,depends on work
Medium,i will try to come soon
Medium,let me see next week
Medium,i guess
Medium,occasional pain next month
Medium,i might come this week
Medium,i will check schedule this evening
Medium,maybe tomorrow
Medium,i will try to come this evening
Medium,small discomfort
Medium,i will try next week
Medium,i will check schedule soon
Medium,depends on work
Medium,maybe
Medium,maybe
Medium,let me think today
Medium,maybe later next month
Medium,i think
Medium,i might come today
Medium,i will update later
Medium,small discomfort tomorrow
Medium,possibly
Medium,small discomfort next month
Medium,i guess next week
Medium,let me think tomorrow
Medium,i will update later this week
Medium,i will update later this evening
Medium,maybe later
Medium,i might come
Medium,not sure
Medium,maybe tomorrow this evening
Medium,let me think
Medium,maybe later today
Medium,probably
Medium,i will try later today
Medium,i will see if possible tomorrow
Medium,moderate pain next month
Medium,maybe later
Medium,maybe soon
Medium,i will try tomorrow
Medium,i will try later
Medium,moderate pain this evening
Medium,maybe later
Medium,let me think
Medium,not sure today
Medium,i will try next week this week
Medium,pain sometimes
Medium,pain sometimes
Medium,i will try today
Medium,possibly next month
Medium,i will try later soon
Medium,i think tomorrow
Medium,maybe next week tomorrow
Medium,i will try
Medium,not sure
Medium,i will try next week
Medium,i will try next week this week
Medium,i think next month
Medium,depends on work
Medium,not sure today
Medium,not sure today
Medium,maybe
Medium,small discomfort today
Medium,pain sometimes soon
Medium,depends on work
Medium,i will try later next month
Medium,i think this evening
Medium,i will check tomorrow
Medium,occasional pain
Medium,maybe soon
Medium,maybe next week
Medium,i might come this week
Medium,small discomfort
Medium,small discomfort
Medium,small discomfort
Medium,let me see
Medium,maybe
Medium,pain sometimes
Medium,i will try next week this evening
Medium,possibly tomorrow
Medium,occasional pain
Medium,probably
Medium,i will try soon
Medium,possibly
Medium,i will try next week today
Medium,small discomfort
Medium,i will confirm later next week
Medium,i will check
Medium,i guess tomorrow
Medium,i will try next week
Medium,i guess
Medium,i might come
Medium,occasional pain
Medium,i will update later today
Medium,i will try later
Medium,i will try
Medium,moderate pain today
Medium,i will confirm later
Medium,maybe later
Medium,maybe next month
Medium,probably next month
Medium,i will confirm later
Medium,maybe next week
Medium,i will confirm later soon
Medium,i will try next week
Medium,i will check schedule next month
Medium,moderate pain this week
Medium,not sure
Medium,i will confirm later
Medium,maybe later
Medium,moderate pain soon
Medium,i will try
Medium,depends on work
Medium,depends on work
Medium,maybe this week
Medium,maybe later tomorrow
Medium,maybe next week
Medium,i will try today
Medium,i will try next week
Medium,i will confirm later this week
Medium,probably today
Medium,maybe next week this week
Medium,i will see if possible
Medium,i will try later
Medium,i guess next week
Medium,occasional pain
Medium,mild swelling
Medium,i will try next week next week
Medium,i guess next week
Medium,depends on work
Medium,i will try next month
Medium,i will check soon
Medium,i will see if possible this evening
Medium,small discomfort soon
Medium,probably
Medium,not sure today
Medium,let me think
Medium,i guess this week
Medium,pain sometimes next month
Medium,i guess
Medium,i will check schedule
Medium,possibly
Medium,maybe next week next month
Medium,small discomfort
Medium,mild swelling soon
Medium,small discomfort
Medium,i will confirm later soon
Medium,small discomfort
Medium,i might come next month
Medium,let me see
Medium,i might come
Medium,i will check
Medium,maybe next week this evening
Medium,i think
Medium,not sure tomorrow
Medium,depends on work soon
Medium,pain sometimes
Medium,depends on work soon
Medium,i will see if possible today
Medium,i might come
Medium,depends on work
Medium,i will update later
Medium,small discomfort today
Medium,mild swelling soon
Medium,i will see if possible this week
Medium,let me see soon
Medium,let me think
Medium,i might come
Medium,maybe later
Medium,i will confirm later
Medium,not sure
Medium,mild swelling
Medium,maybe
Medium,moderate pain tomorrow
Medium,let me see
Medium,i will see if possible this week
Medium,maybe later next month
Medium,i guess next month
Medium,i will try next week
Medium,mild swelling
Medium,i might come
Medium,i think
Medium,maybe later this evening
Medium,i will try later soon
Medium,probably
Medium,occasional pain
Medium,maybe tomorrow
Medium,mild swelling next week
Medium,maybe later tomorrow
Medium,let me see today
Medium,maybe next week soon
Medium,depends on work this week
Medium,maybe next week
Medium,i guess
Medium,occasional pain
Medium,moderate pain
Medium,i think
Medium,occasional pain next month
Medium,depends on work next month
Medium,i will check next month
Medium,occasional pain next week
Medium,maybe tomorrow soon
Medium,i will confirm later today
Medium,i will confirm later tomorrow
Medium,pain sometimes this week
Medium,depends on work this week
Medium,not sure
Medium,maybe next week
Medium,let me see this evening
Medium,i guess
Medium,i will update later
Medium,i will try next week
Medium,i will check
Medium,depends on work next week
Medium,maybe tomorrow next month
Medium,i will check schedule
Medium,pain sometimes this week
Medium,let me see next week
Medium,i might come
Medium,moderate pain this week
Medium,i will update later tomorrow
Medium,i will try to come today
Medium,possibly
Medium,i think this evening
Medium,probably
Medium,pain sometimes
Medium,pain sometimes this week
Medium,i think this evening
Medium,maybe next week
Medium,i will update later
Medium,maybe tomorrow
Medium,depends on work
Medium,maybe later this week
Medium,i will try to come
Medium,i will try next week
Medium,i will check
Medium,maybe next week
Medium,i might come
Medium,possibly
Medium,i will try to come today
Medium,occasional pain next week
Medium,i think
Medium,probably soon
Medium,i will try later
Medium,probably this evening
Medium,let me think
Medium,let me see
Medium,i think
Medium,occasional pain
Medium,mild swelling soon
Medium,i will see if possible soon
Medium,not sure
Medium,i will try next week
Medium,let me think
Medium,i will see if possible soon
Medium,occasional pain soon
Medium,i will confirm later
Medium,i might come
Medium,i will see if possible
Medium,pain sometimes next month
Medium,mild swelling this evening
Medium,let me see this evening
Medium,maybe tomorrow this week
Medium,i will update later today
Medium,i will try next week soon
Medium,i will check
Medium,possibly soon
Medium,i will check schedule
Medium,moderate pain next month
Medium,moderate pain
Medium,i will try later today
Medium,i will see if possible this week
Medium,i will try
Medium,moderate pain
Medium,maybe this evening
Medium,i think
Medium,pain sometimes
Medium,i will try today
Medium,let me see today
Medium,maybe soon
Medium,i will try next week next week
Medium,possibly
Medium,let me see soon
Medium,not sure this week
Medium,pain sometimes next month
Medium,occasional pain next week
Medium,moderate pain next month
Medium,i will check
Medium,maybe later
Medium,i will confirm later
Medium,i will check this evening
Medium,let me think this evening
Medium,mild swelling
Medium,i guess soon
Medium,i will try to come this week
Medium,maybe tomorrow
Medium,moderate pain
Medium,probably next week
Medium,not sure soon
Medium,i will check next month
Medium,i will confirm later
Medium,i will update later next month
Medium,i will see if possible
Medium,probably today
Medium,i might come
Medium,maybe tomorrow
Medium,i will see if possible this week
Medium,i will try next week soon
Medium,maybe next week
Medium,let me think soon
Medium,i guess
Medium,maybe next week soon
Medium,i guess next month
Medium,i will try later
Medium,i think tomorrow
Medium,i will try later today
Medium,i think
Medium,maybe next week
Medium,let me see
Medium,i might come today
Medium,i will try later this evening
Medium,i might come
Medium,i will try later
Medium,maybe tomorrow this evening
Medium,small discomfort
Medium,maybe
Medium,i think this week
Medium,maybe this week
Medium,i think
Medium,let me see next week
Medium,not sure
Medium,i will try later next month
Medium,i might come
Medium,mild swelling
Medium,depends on work next month
Medium,maybe
Medium,maybe next week today
Medium,i guess
Medium,maybe tomorrow soon
Medium,i will check schedule
Medium,i will try next week this evening
Medium,maybe later
Medium,i might come
Medium,i might come next month
Medium,maybe later this evening
Medium,pain sometimes tomorrow
Medium,maybe tomorrow
Medium,small discomfort
Medium,i will try to come this week
Medium,probably
Medium,depends on work next week
